CustomerID,Gender,Age,Income,Spending_Score,RFMScore,Clusters
95,Female,32,60,42,41.66666667,1
96,Male,24,60,52,50,1
97,Female,47,60,47,41.66666667,1
98,Female,27,60,50,41.66666667,1
99,Male,48,61,42,58.33333333,1
100,Male,20,61,49,50,1
101,Female,23,62,41,58.33333333,1
102,Female,49,62,48,66.66666667,1
103,Male,67,62,59,50,1
104,Male,26,62,55,33.33333333,1
105,Male,49,62,56,58.33333333,1
106,Female,21,62,42,58.33333333,1
107,Female,66,63,50,58.33333333,1
108,Male,54,63,46,58.33333333,1
109,Male,68,63,43,41.66666667,1
110,Male,66,63,48,91.66666667,1
111,Male,65,63,52,33.33333333,1
112,Female,19,63,54,41.66666667,1
113,Female,38,64,42,100,1
114,Male,19,64,46,58.33333333,1
115,Female,18,65,48,100,1
116,Female,19,65,50,83.33333333,1
117,Female,63,65,43,75,1
118,Female,49,65,59,100,1
119,Female,51,67,43,58.33333333,1
120,Female,50,67,57,100,1
121,Male,27,67,56,41.66666667,1
122,Female,38,67,40,100,1
123,Female,40,69,58,33.33333333,1
124,Male,39,69,91,41.66666667,0
125,Female,23,70,29,58.33333333,3
126,Female,31,70,77,58.33333333,0
127,Male,43,71,35,66.66666667,1
128,Male,40,71,95,58.33333333,0
129,Male,59,71,11,50,3
130,Male,38,71,75,50,0
131,Male,47,71,9,50,3
132,Male,39,71,75,50,0
133,Female,25,72,34,50,1
134,Female,31,72,71,50,0
135,Male,20,73,5,33.33333333,3
136,Female,29,73,88,25,0
137,Female,44,73,7,33.33333333,3
138,Male,32,73,73,58.33333333,0
139,Male,19,74,10,41.66666667,3
140,Female,35,74,72,33.33333333,0
141,Female,57,75,5,33.33333333,3
142,Male,32,75,93,50,0
143,Female,28,76,40,41.66666667,1
144,Female,32,76,87,41.66666667,0
145,Male,25,77,12,75,3
146,Male,28,77,97,33.33333333,0
147,Male,48,77,36,25,3
148,Female,32,77,74,50,0
149,Female,34,78,22,41.66666667,3
150,Male,34,78,90,41.66666667,0
151,Male,43,78,17,50,3
152,Male,39,78,88,41.66666667,0
153,Female,44,78,20,41.66666667,3
154,Female,38,78,76,41.66666667,0
155,Female,47,78,16,58.33333333,3
156,Female,27,78,89,58.33333333,0
157,Male,37,78,1,66.66666667,3
158,Female,30,78,78,66.66666667,0
159,Male,34,78,1,75,3
160,Female,30,78,73,41.66666667,0
161,Female,56,79,35,33.33333333,3
162,Female,29,79,83,41.66666667,0
163,Male,19,81,5,66.66666667,3
164,Female,31,81,93,58.33333333,0
165,Male,50,85,26,66.66666667,3
166,Female,36,85,75,58.33333333,0
167,Male,42,86,20,41.66666667,3
168,Female,33,86,95,33.33333333,0
169,Female,36,87,27,33.33333333,3
170,Male,32,87,63,75,0
171,Male,40,87,13,66.66666667,3
172,Male,28,87,75,50,0
173,Male,36,87,10,50,3
174,Male,36,87,92,33.33333333,0
175,Female,52,88,13,25,3
176,Female,30,88,86,58.33333333,0
177,Male,58,88,15,66.66666667,3
178,Male,27,88,69,50,0
179,Male,59,93,14,58.33333333,3
180,Male,35,93,90,50,0
181,Female,37,97,32,41.66666667,3
182,Female,32,97,86,66.66666667,0
183,Male,46,98,15,50,3
184,Female,29,98,88,50,0
185,Female,41,99,39,66.66666667,3
186,Male,30,99,97,25,0
187,Female,54,101,24,50,3
188,Male,28,101,68,58.33333333,0
189,Female,41,103,17,50,3
190,Female,36,103,85,50,0
191,Female,34,103,23,50,3
192,Female,32,103,69,58.33333333,0
193,Male,33,113,8,25,3
194,Female,38,113,91,25,0
195,Female,47,120,16,33.33333333,3
196,Female,35,120,79,33.33333333,0
197,Female,45,126,28,33.33333333,3
198,Male,32,126,74,33.33333333,0
199,Male,32,137,18,41.66666667,3
200,Male,30,137,83,50,0
201,Male,29,128,70,25,0
